title,date,content,link
แม่แก้ว ตื่นมาตกใจ น้ำท่วมบ้านที่ขอนแก่น ร้องโอ๊ย บอก ณเดชน์ ต้องขนของแล้ว!,14/09/2567,ไนน์เอ็นเตอร์เทน 14 ก.ย. –แม่พระเอกหนุ่ม ณเดชน์ คูกิมิยะ นอนบ้านที่ขอนแก่น ตื่นเช้ามาตกใจ น้ำทะลักเข้าลานจอดรถ ร้องโอ๊ย บอกลูกชายต้องขนของหนีน้ำแล้ว!เมื่อคืน (13 ก.ย.67) ที่ผ่านมา จ.ขอนแก่น ฝนตกหนักตลอดทั้งคืน ทำให้เช้านี้(14 ก.ย.67) มีน้ำท่วมขังบริเวณ ถ.มะลิวัลล์ ทั้งขาเข้าและขาออก กระทบบ้านเรือนประชาชนในบริเวณดังกล่าว รวมถึงบ้านของพระเอกซุปตาร์ ณเดชน์ คูกิมิยะ ที่มีน้ำท่วมขังรอบบ้าน ทั้งยังไหลท่วมลานจอดรถ ทำเอาคุณแม่แก้ว สุดารัตน์ ตื่นมาตอนเช้า เตรียมตัวจะออกไปจ่ายตลาด ตกอกตกใจไม่น้อย เตรียมขนข้าวของขึ้นที่สูง เจ้าตัวถึงกับร้องโอ๊ยบอกลูกชายจะต้องขนของหนีน้ำแล้ว!!อ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6619311FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnapha,https://tna.mcot.net/entertainment-1419667
ไม่หวงแล้ว “น้องวันใหม่” ไฟเขียว “บอย ปกรณ์” แต่งเฟย์,25/08/2567,ไนน์เอ็นเตอร์เทน 25 ส.ค.-น้องวันใหม่ ไม่หวงแล้ว! ไฟเขียว บอย ปกรณ์ แต่ง เฟย์ พรปวีณ์ ลั่นอยากมีน้องชายเป็นการฉลองเข้าสู่วัยเลข 4 แบบหวานสุด ๆ สำหรับพระเอกหนุ่ม บอย – ปกรณ์ ฉัตรบริรักษ์ ที่เพิ่งครบ 40 ปี ไปเมื่อวันที่ 20 สิงหาคม ที่ผ่านมา พร้อมลงรูปฉลองเบิร์ธเดย์สุดคิวต์กับแฟนสาว เฟย์ พรปวีณ์ล่าสุด หนุ่ม บอย ควงน้องสาวน้องวันใหม่ วัย 12 ขวบ ลงสนามวิ่งฮาล์ฟมาราธอนระยะทาง 5 กิโลเมตร ที่อุทยานหลวงราชพฤกษ์ จ.เชียงใหม่ พร้อมเปิดใจว่า ไม่น่าเชื่อว่าอายุเข้าเลข 4 แล้ว วันเกิดไปทานข้าวกับเฟย์ พร้อมกับมอบของขวัญเป็นเสื้อแจ็กเก็ตให้ด้านน้องวันใหม่ บอกว่ายังไม่ได้มีของขวัญอะไรให้ นอกจากหอมแก้มไปหนึ่งที อยากให้เฮียแต่งงานตั้งนานแล้ว ชมพี่เฟย์ใจดีมาก ๆ น่ารักที่สุดอ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-top-story-6614880FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaน้องวันใหม่บอย ปกรณ์เฟย์ พรปวีณ์ข่าวที่เกี่ยวข้อง“บอย ปกรณ์” ลั่นขอตัดขาดผู้บริหารดิไอคอนกรุ๊ป“หนุ่ม-กัน-บอย” พาผู้เสียหายหลายสิบคนเข้าแจ้งความ“เฟย์ พรปวีณ์” รับเรื่องคุณแม่งามทิพย์ เอ่ยปากอยากอุ้มหลาน ขึ้นอยู่กับเวลา“บอย” ปัดไม่ใช่สายเปย์ แค่ให้เงินแฟนเป็นกำลังใจ แม่งามทิพย์ชม “เฟย์” น่ารัก“บอย” เปย์เงินแทนช่อดอกไม้ให้แฟนสาว “เฟย์ พรปวีณ์”,https://tna.mcot.net/entertainment-1410537
ก็อต อิทธิพัทธ์ เศร้า! คุณพ่อไพศาล จากไปตลอดกาล,24/08/2567,ไนน์เอ็นเตอร์เทน 24 ส.ค.- นักแสดงมากฝีมือ ก็อต อิทธิพัทธ์ สูญเสีย คุณพ่อไพศาล ฐานิตย์ ไปอย่างไม่มีวันกลับโดยก็อต แจ้งข่าวเศร้า ผ่านอินสตาแกรมสตอรี่ @gxxod เป็นกำหนดการงานสวดอภิธรรมของคุณพ่อ ซึ่งจัดขึ้น ณ ศาลา 3 วัดน้อยสุวรรณาราม(คลอง9) ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ และจะมีพิธีฌาปนกิจในวันที่ 26 ส.ค.67อ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6614811FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaก็อต อิทธิพัทธ์ข่าวที่เกี่ยวข้อง“ริชชี่” เผย “ก็อต” แฮปปี้ดื่มด่ำธรรมชาติดอยปู่หมื่น“ริชชี่-ก็อต” โต้ข่าวคู่รักเลิกเงียบ แค่ทะเลาะไม่เข้าใจกันหรือจะมีข่าวดี? “ริชชี่” หลุดปากกลางไลฟ์ ทำ “ก็อต” เลิกลั่กไปไม่เป็น“ริชชี่” โพสต์ข้อความเศร้า! ชีวิตหวานให้ขอบคุณ ชีวิตขมขื่นให้เติบโตน่ารักอะไรขนาดนี้! “ก็อต” ใส่ชุดฮันบกตามใจ “ริชชี่” แฟนสาวบอกรักแทนคำขอบคุณ,https://tna.mcot.net/entertainment-1410521
“บุ๋ม รัญญา” ขอบคุณทีมเข้าช่วยเหลือคุณพ่อจากน้ำท่วม จ.แพร่,23/08/2567,ไนน์เอ็นเตอร์เทน 23 ส.ค.- จากกรณีนักแสดงสาวรุ่นใหญ่ “บุ๋ม รัญญา” โพสต์ขอความช่วยเหลือคุณพ่อ ซึ่งป่วยอัมพาตครึ่งซีก ที่บ้าน จ.แพร่ เกิดน้ำท่วมหนัก จนไม่สามารถติดต่อคุณพ่อได้ ทำให้กังวลใจเป็นอย่างมาก จึงประสานกับทีมหน่วยกู้ภัยฝันดีไปล่าสุด “บุ๋ม รัญญา” อัปเดต ตอนนี้คุณพ่อปลอดภัย ได้รับความช่วยเหลือแล้ว ขอบคุณทุกคนที่ช่วยเหลือ.อ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-newsupdate-6614536FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaกู้ภัยฝันดีน้ำท่วมแพร่บุ๋ม รัญญาข่าวที่เกี่ยวข้องพล.อ.ประวิตร มอบ “ชัยวุฒิ-พล.ต.ท.ปิยะ” มอบถุงยังชีพน้ำท่วมแพร่“สุทิน” ยกเลิกภารกิจช่วยน้ำท่วมแพร่ เหตุเครื่องบินขัดข้องผบ.ทบ. ลงพื้นที่ช่วยน้ำท่วมเขตเทศบาลเมืองแพร่“สมศักดิ์” รับฟังสถานการณ์น้ำท่วมแพร่ จับตามวลน้ำเข้าสุโขทัยนายกฯ สั่งระดมรัฐมนตรี พท. ช่วยน้ำท่วมแพร่,https://tna.mcot.net/entertainment-1410212
อรวี สัจจานนท์ นักร้องคู่ขวัญ เล่าความผูกพัน ชรินทร์ นันทนาคร รักตั้งแต่เกิดมา,21/08/2567,ไนน์เอ็นเตอร์เทน 21 ส.ค.-อรวี สัจจานนท์ ร่ำไห้ เล่าความผูกพัน ชรินทร์ นันทนาคร กว่า 20 ปี รักตั้งแต่เกิด และจะรักตลอดไปอรวี สัจจานนท์ นักร้องคู่ขวัญ อาชรินทร์ เปิดใจทั้งน้ำตา หลังสูญเสีย ชรินทร์ นันทนาคร นักร้องเสียงนุ่มชวนฝัน-นักแสดง-ผู้กำกับ และศิลปินแห่งชาติ สาขาศิลปะการแสดง (เพลงไทยสากล – ขับร้อง) ประจำปี พ.ศ. 2541 ที่จากไปอย่างสงบ ว่า “ตลอดเวลาที่ทำงานอยู่กับคุณอามากว่า 20 ปีที่ร่วมงานกัน เราจะบอกรักอาตลอด รักตั้งแต่เกิดมา ได้ยินเสียงเพลงท่านมาตลอด อาเป็นคนใจดี ไม่เคยเห็นอาโกรธ เวลาทำงานกับคนรุ่นใหม่จะยอมรับการทำงานของคนรุ่นใหม่เสมอ ท่านเป็นศิลปิน นักร้องพระเอก เป็นคนที่รับผิดชอบมาก .อ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-top-story-6613941FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaชรินทร์ นันทนาครอรวี สัจจานนท์ข่าวที่เกี่ยวข้องสุดเศร้า “เพชรา” ร่ำไห้รดน้ำศพ “ชรินทร์” คู่ชีวิตลูกศิษย์-แฟนเพลงร่วมอาลัยการจากไปของ “ครูชรินทร์”อาลัย “ชรินทร์ นันทนาคร” ศิลปินแห่งชาติ สิริอายุ 91 ปี,https://tna.mcot.net/entertainment-1410518
เจี๊ยบ-ปูไข่ ปล่อยภาพพรีเวดดิ้ง Street Fashion,17/08/2567,ไนน์เอ็นเตอร์เทน 17 ส.ค.- คู่รักมาราธอน 11 ปี “ปูไข่-เจี๊ยบ ชมพูนุช” ปล่อยภาพพรีเวดดิ้งแนว Street Fashion ก่อนจะสละโสดปีหน้าอ่านเพิ่มเติมhttps://nineentertain.mcot.net/top-story-6612797FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet PhunnaphaStreet Fashionปูไข่ พงษ์สิรีพรีเวดดิ้งเจี๊ยบ ชมพูนุชข่าวที่เกี่ยวข้อง“เมย์ พิชญ์นา” สปอยล์ภาพพรีเวดดิ้ง บินไปถ่ายไกลถึงภูฏาน“แคท ซอนญ่า” เปิดภาพพรีเวดดิ้งหวาน ก่อนเข้าพิธีวิวาห์ 12 มี.ค.นี้“จอย ชลธิชา” ลงภาพพรีเวดดิ้ง ลุ้นงานแต่งเลื่อนไม่เลื่อน“ดิม-กวาง” ปล่อยภาพหวานพรีเวดดิ้งจุดเริ่มต้นแห่งรัก,https://tna.mcot.net/entertainment-1407068
วุ้นเส้น-นิกม์ ถือฤกษ์ดี วันวาราลักษมี ขอพรก่อนบินวิวาห์หรูฝรั่งเศส,16/08/2567,ไนน์เอ็นเตอร์เทน 16 ส.ค.-มีวันนี้เพราะแม่ให้ไม่เกินจริง! สำหรับสาวสวย “วุ้นเส้น วิริฒิพา ภักดีประสงค์” หนึ่งในคนวงการบันเทิงที่ศรัทธาในศาสตร์ฮินดู บูชาพระแม่ลักษมี จนประสบความสำเร็จทั้งเรื่องการงาน การเงิน และความรักงานนี้ไม่พลาดฤกษ์ดี “วันวาราลักษมี วรัทตัม” วันสำคัญทางศาสนาฮินดู ตรงกับวันที่ 16 สิงหาคม 2567 วันขอพร “พระแม่ลักษมี” 1 ปีมีครั้ง เจ้าตัวควงหวานใจว่าที่สามี “นิกม์ ธนะภูมิกุล” และเพื่อนสาวคู่ใจบัดดี้ทางธุรกิจผู้ร่วมก่อตั้งเซวา เข้าร่วมพิธีขอพรชุดใหญ่ ที่วัดไผ่เงินโชตนาราม ย่านถนนจันทน์นอกจาก “สาววุ้นเส้น” จะควง “หนุ่มนิกม์” มาเสริมดวงบารมีเสริมพลังรักและการเงินการงานแล้วนั้น ครั้งนี้ยังขอพรเรื่องงานแต่งที่ทั้งคู่เคลียร์คิวบินข้ามน้ำข้ามทะเลไปจัดงานแต่งที่เมืองน้ำหอม ช่วงเดือนกันยายนนี้อ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-newsupdate-6612775FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaขอพรพระแม่ลักษมีนิกม์ ธนะภูมิกุลวันวาราลักษมีวุ้นเส้น วิริฒิพาข่าวที่เกี่ยวข้อง“วุ้นเส้น – นิกม์” เสิร์ฟช็อตสวีตกลางโต๊ะอาหาร จ้องตาหวานซึ้ง,https://tna.mcot.net/entertainment-1407083
บิว จักรพันธ์ เผยบทสรุปหลังเดินหน้าสู้คดีใช้ความรุนแรง คู่กรณียอมรับฟ้องเท็จ,15/08/2567,ไนน์เอ็นเตอร์เทน 15 ส.ค.- นักแสดงซีรีส์วาย บิว จักรพันธ์ พุทธา โล่งใจเหมือนยกภูเขาออกจากอก หลังมีคำตัดสินของศาลออกมา กรณีถูกอดีตแฟนเก่าแฉพฤติกรรมทำร้ายร่างกายและนอกใจ จนเกิดกระแสวิพากษ์วิจารณ์อย่างดุเดือด ส่งผลให้นักแสดงหนุ่มทนกระแสข่าวไม่ไหว ประกาศลาออกจากการเป็นนักแสดงสังกัด Be On Cloud เพื่อเดินหน้าสู้คดีในชั้นศาลอยู่ถึงที่สุดล่าสุด หนุ่มบิวโพสต์อัปเดตผลสรุปคดีในอินสตาแกรมสตอรี่ ว่าคู่กรณียอมรับฟ้องเท็จ ขอบคุณทุกคนที่คอยอยู่เคียงข้างและเป็นกำลังใจเสมอมาอ่านเพิ่มเติม ►https://nineentertain.mcot.net/news-update-6612541FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaบิว จักรพันธ์ฟ้องเท็จข่าวที่เกี่ยวข้องยังไม่จบ! “ครูปรีชา” ฟ้องเท็จหวย 30 ล้าน ศาลเลื่อนพิพากษาศาลรับฟ้องคดี “ผู้การจ๋อ” ฟ้อง “อัจฉริยะ” แจ้งความเท็จ“บิว จักรพันธ์” ประกาศลาออกจากค่าย พ้อชีวิตพัง นั่งหายใจยังผิด ขอไปสู้ในชั้นศาลศาลรับฟ้องคดี “ลุงจรูญ” ฟ้องเท็จ “ครูปรีชา”ครบ 2 ปีคดีหวย 30 ล้าน “ลุงจรูญ” ฟ้องกลับ “ครูปรีชา” ฐานฟ้องเท็จ,https://tna.mcot.net/entertainment-1407078
แม่แมท ภีรนีย์ โพสต์อวยพรซึ้งถึงลูกสาว หลังควงเฟม เข้าพิธีหมั้นสุดอบอุ่น,14/08/2567,ไนน์เอ็นเตอร์เทน 14 ส.ค.- หลังจากนางเอกสาว แมท ภีรนีย์ ควงแฟนหนุ่ม เฟม ภีมเดช เข้าพิธีหมั้นไปเมื่อวันที่ 11 สิงหาคม 2567 โดยมีครอบครัวและเพื่อนพ้องคนสนิทมาแสดงความยินดีกันอย่างอบอุ่น แถมทั้งสองคนก็น่ารักมาก ๆ ที่มีคำพูดไม่ได้หวานมากให้กัน แต่สัมผัสได้ว่าทั้งสองคนรักกันอย่างมากมายคุณแม่พัชนีย์ คงไทย แม่ของสาว แมท ก็ได้โพสต์อวยพรกับให้กับ แมท-เฟม ผ่านอินสตาแกรมส่วนตัว ว่า จุดเริ่มต้นของครอบครัวลูกนะคะ จับมือกันไว้แน่น ๆ นะลูก ไม่ว่าจะสุขจะทุกข์ อย่าปล่อยมือกันนะ… ขณะที่แฟน ๆ ต่างเข้ามาคอมเมนต์อวยพรได้ซึ้งมากอ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-top-story-6612419FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnaphaดาราหมั้นเฟม ภีมเดชแมท ภีรนีย์ข่าวที่เกี่ยวข้อง“ไมกี้” ตื่นเต้น เล่นละครประกบ “แมท” แม้ถูกชาวเน็ตติงไม่เหมาะสม‘แมท ภีรนีย์’ ถูกแฟนหนุ่มเซอร์ไพรส์ขอแต่งงานสู้สุดใจ “แมท” ลงวิ่งครั้งแรก 10 กิโล ขอบคุณพี่แอนชวนมาสนุก“แมท ภีรนีย์” เฉลยแล้ว เจ้าของมือปริศนาที่จับแก้มคือใครเดรสแซ่บ! “แมท ภีรนีย์” ลั่นไม่ได้เป็นคนแรง แค่ชอบสีแดง,https://tna.mcot.net/entertainment-1407074
มิกค์ ทองระย้า เหลืออด! แจ้งความโจรขโมยสายไฟที่เขาใหญ่,13/08/2567,ไนน์เอ็นเตอร์เทน 13 ส.ค. –ไม่ทนอีกต่อไป! พระเอกหนุ่มวิกหมอชิต “มิกค์ ทองระย้า” เข้าแจ้งความกับตำรวจสถานีตำรวจภูธรหมูสี อ.ปากช่อง หลังโดนโจรขโมยสายไฟบ้านที่เขาใหญ่หลายเส้นพระเอกหนุ่มวิกหมอชิต “มิกค์ ทองระย้า” เล่าเหตุการณ์โดนขโมยสายไฟบ้านที่เขาใหญ่ ทราบเรื่องวันที่ 10 ส.ค. 67 เนื่องจากจะให้มารดน้ำต้นไม้จึงรู้ว่าไฟฟ้าใช้ไม่ได้ ทำให้ตามช่างไฟมาดูผลสรุปว่าสายไฟสายทองแดงที่ร้อยไว้ในท่อโดนขโมยไปเกือบ 40 เมตรที่ฝังไว้ใต้ดินคาดว่าคนที่ลงมือน่าจะทำตอนกลางคืนอ่านเพิ่มเติม ►https://nineentertain.mcot.net/line-today-newsupdate-6611806มิกค์ ทองระย้า เพิ่มความปลอดภัยหาคนเฝ้าไร่ หลังถูกโจรขโมยสายไฟที่เขาใหญ่ ►https://nineentertain.mcot.net/line-today-newsupdate-6611936FacebookFacebookXTwitterLINELineดูข่าวเพิ่มเติมPhet Phunnapha,https://tna.mcot.net/entertainment-1405138
